sid,symbol,name,c_name,localSymbol,exchange,currency,gateway,secType
880,000880,潍柴重机,机械行业,000880,szse,CNY,STOCK,STK
881,000881,中广核技,综合行业,000881,szse,CNY,STOCK,STK
882,000882,华联股份,商业百货,000882,szse,CNY,STOCK,STK
883,000883,湖北能源,电力行业,000883,szse,CNY,STOCK,STK
885,000885,同力水泥,水泥行业,000885,szse,CNY,STOCK,STK
886,000886,海南高速,公路桥梁,000886,szse,CNY,STOCK,STK
887,000887,中鼎股份,化工行业,000887,szse,CNY,STOCK,STK
888,000888,峨眉山Ａ,酒店旅游,000888,szse,CNY,STOCK,STK
889,000889,茂业通信,商业百货,000889,szse,CNY,STOCK,STK
890,000890,法 尔 胜,钢铁行业,000890,szse,CNY,STOCK,STK
892,000892,欢瑞世纪,电子信息,000892,szse,CNY,STOCK,STK
893,000893,东凌国际,食品行业,000893,szse,CNY,STOCK,STK
895,000895,双汇发展,食品行业,000895,szse,CNY,STOCK,STK
897,000897,津滨发展,房地产,000897,szse,CNY,STOCK,STK
898,000898,鞍钢股份,钢铁行业,000898,szse,CNY,STOCK,STK
899,000899,赣能股份,电力行业,000899,szse,CNY,STOCK,STK
900,000900,现代投资,公路桥梁,000900,szse,CNY,STOCK,STK
901,000901,航天科技,飞机制造,000901,szse,CNY,STOCK,STK
902,000902,新洋丰,农药化肥,000902,szse,CNY,STOCK,STK
903,000903,云内动力,机械行业,000903,szse,CNY,STOCK,STK
905,000905,厦门港务,交通运输,000905,szse,CNY,STOCK,STK
906,000906,浙商中拓,商业百货,000906,szse,CNY,STOCK,STK
908,000908,景峰医药,生物制药,000908,szse,CNY,STOCK,STK
909,000909,数源科技,综合行业,000909,szse,CNY,STOCK,STK
910,000910,大亚圣象,家具行业,000910,szse,CNY,STOCK,STK
911,000911,南宁糖业,食品行业,000911,szse,CNY,STOCK,STK
912,000912,泸天化,农药化肥,000912,szse,CNY,STOCK,STK
913,000913,*ST钱江,摩托车,000913,szse,CNY,STOCK,STK
915,000915,山大华特,生物制药,000915,szse,CNY,STOCK,STK
916,000916,华北高速,公路桥梁,000916,szse,CNY,STOCK,STK
917,000917,电广传媒,传媒娱乐,000917,szse,CNY,STOCK,STK
918,000918,嘉凯城,房地产,000918,szse,CNY,STOCK,STK
919,000919,金陵药业,生物制药,000919,szse,CNY,STOCK,STK
